,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
1455,Dominican Republic,DOM,2017,0.199461740299,0.891063093686,0.303058121152,4.55830898989,0.680032680702,2.97852252642,1.57640545191,2.37000664359,3.57744044065,10513000.0,8.92403885901253,2856.47164232,10513000.0,299172.67566,3.06544193323,1.37382159129,2.98126999247999,5.26379068786,3.23617109293,2.81351111247,3.11915040097999,4.9959604867,2.97852252642,3.34388620428
1483,Ecuador,ECU,2017,0.202911590059,0.882945345959,0.363732807614,4.30535715908,0.668945807449,2.97711725822,1.70674812698,2.50567382969,3.42716083845,16785000.0,9.21364456316022,2842.36631665,16785000.0,469099.4933,3.51368532408,1.23654160164,2.94266240329,5.15430484908,3.26424672523,2.89471539086,3.35983244855999,4.90069864561,2.97711725822,3.38988005555
1511,Egypt,EGY,2017,0.188117075278999,0.775826260364,0.19294203792,4.36102280717,1.47447643787,3.23818185168,0.664616143703,2.5460313632,3.96549431778,96443000.0,5.46976877469829,3117.71863125,96443000.0,2743114.03965,3.38104437661,1.458409707,2.97079006004,4.60181349237,4.05751393142,2.87598391625,3.72595985583,5.07369389544,3.23818185168,3.87423218863
1539,El Salvador,SLV,2017,0.197831002875,0.770584701282,0.243873188283,2.94522037622,0.618859540373,3.02588721657,2.65543023708,2.43862561434,3.50262734869,6388000.0,9.80316253912917,2876.877172,6388000.0,176655.424459,3.68679905386,1.1271143125,3.04740566091,4.81306403202,3.69671595362999,2.77480920042,3.70206512463,4.72063174896,3.02588721657,3.58388943269
1567,Equatorial Guinea,GNQ,2017,0.18533360608,0.623349903615,0.277336567698,3.27899059312999,0.563293149394,4.16708998551,1.48076864239,3.62171968867,4.67088330961,1262000.0,9.33445106280619,4072.19133192,1262000.0,41791.263903,4.80154060684,1.47661097364,3.20880770853999,7.39810939138999,4.99429060853,3.68528272316,4.84037461207,6.61486094250999,4.16708998551,4.78563259105
1595,Eritrea,ERI,2017,0.158711073736,0.617568776716,0.102502520428,3.66566807955,0.524820660024999,3.86737670292999,1.73261735435999,3.23812716134,4.36570385794,3413000.0,15.7115139039001,3781.22106543,3413000.0,165617.681851,3.49773980584,1.58158809591,2.9135864929,8.72921965981,3.92379528912,3.30830126604,3.65881914526,7.01466195027,3.86737670292999,3.9249895729
1623,Estonia,EST,2017,0.203977642902,0.708240561777,0.250270742469,2.96224376542,1.12666490337,3.84885421123,4.71361709722,2.95817852964,4.57476488379999,1319000.0,12.7387200909517,3558.57929587,1319000.0,63021.8798555,3.52902029601,1.35515718403,5.02522253759,9.0052550344,3.87955354497,2.92615863103,3.69642202083,6.91466998882999,3.84885421123,4.04909789999
1651,Ethiopia,ETH,2017,0.164823052944,0.627391281004,0.109816928768,3.73199716771,0.498949272621,3.8162659691,1.86389341573999,3.41454749258999,4.22167254808,106400000.0,9.63395273427084,3735.37556731,106400000.0,2720380.94196,3.65874558944,1.37953439347,2.72809961665,8.32051699242999,4.04587665471,3.13658925448,3.83033340043,6.94998660620999,3.8162659691,3.93275581765999
1679,Fiji,FJI,2017,0.238571847376,0.452605477544,0.147252649755,3.28244749356,0.757352302047,3.17189809853,1.10754512797,2.67299906472,3.64934603457,877000.0,9.82902058762554,3069.44888901,877000.0,27094.0169709,3.34893242157,1.0997884714,3.0886132747,6.19375658864,3.29626787286,2.67565746152,3.26017848295,5.8126615716,3.17189809853,3.46417483148
1707,Finland,FIN,2017,0.257444377924,1.00582625676,0.594937626869,3.7520618778,0.951914364592,4.79273560626,2.60506090174,3.5385568745,6.034668825,5511000.0,12.9449467354316,4400.60429192,5511000.0,279845.224192,6.67728167916999,2.10898624488,5.33686285331,5.65054167596,6.13704272604,4.80093583278,6.30235172973,5.92345766659,4.79273560626,6.2252983699
1735,France,FRA,2017,0.256237904708,0.958198977579999,0.573755286605,6.62671021127,1.17926831642,4.25380726277,1.4189578909,3.06351021982,5.36391703086,64843000.0,12.4002979749645,3843.92551432,64843000.0,2949848.6966,4.57857841926999,1.95448827819,4.79285411628,5.5410971746,5.24243957281,3.67160588555,4.82206438783,5.63958676789,4.25380726277,5.32274979974999
1763,Gabon,GAB,2017,0.181545884718,0.638332502289,0.226577373688,3.29951225121,0.571613556555,4.04902903406,1.46626542801,3.68244089869,4.38672139731,2065000.0,12.5268153474492,3965.55663385999,2065000.0,60465.4642652,4.72134120076,1.5069682514,3.63842973446,7.35830199326,4.80702100218,3.69771299384999,4.70518864609,6.38188119714999,4.04902903406,4.78005961035
1791,Gambia,GMB,2017,0.169676836538999,0.646284645619,0.113298039292,2.91337578594,0.50144664326,4.15851745775999,0.943237948155,2.63735665165,5.60354724206,2214000.0,9.70673607692998,4086.94495575,2214000.0,64400.1608842,3.78365812265999,1.55310894097999,3.09649781915,9.30445527208,4.57258395785,3.28660694238,4.16972140405,7.32669562571,4.15851745775999,4.30114909338
1819,Georgia,GEO,2017,0.196775607848999,0.709098566875999,0.171640059024,2.60245566113,0.494333416091,2.79737866325,2.08307328998999,2.29017962304,3.20547579166,4009000.0,7.49372218220714,2644.3948381,4009000.0,119294.836232,2.8252658319,1.05941490501,3.36285834258,6.35776432959,2.95455884707,2.34378774034,2.90377138128,4.85231783187,2.79737866325,3.01775564923
1847,Germany,DEU,2017,0.252269313545,0.776761886254,0.522066337436999,6.5404958034,0.883827049960999,3.95986609184,1.80647468292,2.88001021349,4.99828678896,82658000.0,9.91741703136175,3564.66723508,82658000.0,3655451.36867,4.55944611361,1.81621382243,4.63108567563,5.22634261914,4.91433083867,3.60398798297,4.71638873596,5.23769498363,3.95986609184,4.90752519001
1875,Ghana,GHA,2017,0.175605914654,0.64309920164,0.147451582312999,2.9364162809,0.625914860337999,3.39664668903,1.00825661401,2.87162593728,3.85687515491,29121000.0,9.70239673308908,3323.67317952,29121000.0,815606.444803,3.11984506477,1.19475457821,2.77549284674999,7.35603948601,3.78504098597,2.57224954709,3.45605836875,6.07248842343,3.39664668903,3.57957153821
